Place,Car Num,Team,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,AdjTime,,,Best Time,Penalty,Score
80    T,94,Ferris State University,78.731,1,1,,100.731,96.718,1,,,98.718,,,,,DNA,,,,DNA,,,98.718,,6.5
,,,,,,Minimum Time (seconds),,,,,48.881,,,,,Cone Penalty (seconds),,,,,,2.0,,,,
,,,,,,Maximum Time (seconds),,,,,70.878,,1.45,,,Off Course Penalty (seconds),,,,,,20.0,,,,
,,,Run #1,,,,,Run #2,,,,,Run #3,,,,,Run #4,,,,,,,,
Place,Car Num,Team,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,,AdjTime,Time,Cones,Off Course,AdjTime,,,Best Time,Penalty,Score
80    T,77,Univ of Michigan - Dearborn,63.114,,3,,123.114,61.305,,2,,101.305,,,,,DNA,,,,DNA,,,101.305,,6.5
80    T,45,Univ of Maryland - College Park,DNF,,1,,DNF,83.829,1,2,,125.829,,,,,DNA,,,,DNA,,,125.829,,6.5
,17,Purdue Univ - Northwest,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,19,Kettering Univ,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,23,Old Dominion Univ,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,27,Univ of Florida,DNF,,,,DNF,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,35,Univ of Pittsburgh - Pittsburgh,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,44,Clemson Univ,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,51,Concordia University,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,56,South Dakota School of Mines & Tech,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,68,Florida Inst of Tech,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,81,Lakehead Univ,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,83,Univ of New Hampshire,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,93,Kansas State Univ,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,96,Bradley Univ,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,97,Dalhousie Univ,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,105,Oakland University,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,110,Universidad Autonoma Estado Mexico,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,123,Univ of Minnesota-Duluth,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,127,Univ of Kansas - Lawrence,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,132,Universidad Nacional Autónoma de México,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
,134,California State Univ - Fullerton,,,,,DNA,,,,,DNA,,,,,DNA,,,,DNA,,,DNA,,
