Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Price Score (30),Cost Accuracy (15),Engineering Drawings (15),Scenario Score (40),Average Adjusted Laptime,Laps Completed,Fuel Used(ltr),Adjusted CO2(kg),Average Adjusted CO2 per Lap,Fuel Type,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Laps,Off Course,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg)
<=75,49.0,Arizona State Univ - Tempe,,78.1,51.5,90.0,,,,,,219.6,18687.0,18.1,14.0,14.0,32.0,,,,,,,,,,,,,,,,,,4.0,600.0,212.7
<=25,30.0,Brown Univ,,87.2,59.7,100.0,>=60,>=15,>=90,>=200,36.5,664.9,14999.0,23.2,12.0,14.0,38.0,141.719,10.0,4.554,10.519,1.0519,100,0.481,4.828,53.040,1397.191,10.0,1.0,,1417.191,180.7,25.0,,4.0,599.0,200.9
<=50,148.0,CEFET-MG,,82.5,67.7,139.0,>=80,>=50,>=90,>=10,,543.0,14834.0,23.5,14.0,15.0,30.0,,,,,,,,4.356,53.085,,,,,,,,5.291,4.0,600.0,212.3
<=50,89.0,California State Poly Univ - Pomona,,72.0,18.2,100.0,>=80,>=40,<50,>=125,23.4,478.7,20188.0,16.0,12.0,10.0,34.0,158.635,10.0,6.649,10.97,1.097,E85,0.412,4.374,72.604,1546.353,10.0,2.0,,1586.353,102.2,25.0,5.515,4.0,600.0,214.1
<=100,67.0,California State Univ - Fullerton,,47.7,61.0,60.0,,,,,,168.7,26432.0,7.2,12.0,14.0,14.5,,,,,,,,,,,,,,,,,,2.0,689.0,215.9
<=25,84.0,California State Univ - Northridge,,85.9,38.9,100.0,>=80,>=40,>=90,>=175,59.2,713.0,14551.0,23.9,15.0,15.0,32.0,142.879,10.0,3.617,8.355,0.8355,100,0.6,4.38,52.797,1382.793,10.0,2.0,,1428.793,174.7,25.0,5.49,4.0,600.0,196.0
<=100,55.0,Carleton Univ,,72.3,38.0,80.0,,,,,,190.3,16382.0,21.3,12.0,12.0,27.0,,,,,,,,,,,,,,,,,,1.0,450.0,179.6
<=75,50.0,Clarkson University,,57.8,18.5,60.0,>=50,>=40,>=60,<25,,304.6,17464.0,19.8,12.0,11.0,15.0,,,,,,,,4.981,58.733,,,,,,,,5.511,4.0,600.0,224.1
<=50,58.0,Clemson Univ,,54.6,54.0,80.0,>=60,>=50,>=80,>=10,,409.7,28287.0,4.6,12.0,14.0,24.0,,,,,,,,4.687,54.270,,,,,,,,5.375,4.0,636.0,215.5
<=100,99.0,Colorado Mesa University,,58.1,5.0,40.0,>=50,>=15,<50,>=10,,205.1,20461.0,,,,,,,,,,,,4.992,74.405,,,,,,,,5.938,2.0,650.0,210.5
