Place,Car Num,Team,Best Time,Penalty,Score
58,18,Univ of Missouri,4.98,,53.64
59,101,Arizona State Univ - Tempe,5.035,,51.02
60,91,Tennessee Tech Univ,5.045,,50.57
61,37,Michigan Tech Univ,5.085,,48.7
62,107,Florida Atlantic Univ,5.09,,48.49
63,99,Univ of Akron,5.128,,46.74
64,31,York College of Pennsylvania,5.162,,45.18
65,89,Mississippi State Univ,5.164,,45.09
66,44,Univ of Waterloo,5.328,,37.97
67,73,Carleton Univ,5.395,,35.2
68,63,Universidad Metropolitana,5.411,,34.52
69,78,Univ of Texas - Dallas,5.429,,33.8
70,60,Univ of Hartford,5.452,,32.87
71,74,Univ of Southern California,5.523,,30.04
72,122,Univ of Texas - Austin,5.55,,28.99
73,48,Colorado Mesa University,5.556,,28.79
74,30,Missouri State University,5.601,,27.04
75,42,Univ of Maryland - College Park,5.687,,23.82
76 T,49,Univ of North Florida,6.456,,4.5
76 T,26,California State Univ - Los Angeles,7.475,,4.5
76 T,76,Oregon Inst of Tech,7.971,,4.5
76 T,108,Brown Univ,9.023,,4.5
76 T,15,Lehigh Univ,9.436,,4.5
76 T,136,Texas Tech Univ,12.932,,4.5
,12,Purdue Univ - Northwest,DNA,,
,24,Colorado State University,DNA,,
,25,Kettering Univ,DNA,,
,29,California State Univ - Chico,DNA,,
,38,Univ of Michigan - Dearborn,DNA,,
,39,Univ of Central Florida,DNA,,
,40,Univ of Calif - Irvine,DNA,,
,41,Univ of British Columbia,DNA,,
,46,Washington Univ - St Louis,DNA,,
,47,Liberty Univ,DNA,,
,52,Univ of Manitoba,DNA,,
,59,Bradley Univ,DNA,,
,62,Saint Louis University,DNA,,
,64,Univ of Saskatchewan,DNA,,
,65,Lakehead Univ,DNA,,
,66,South Dakota State Univ,DNA,,
,67,UP Aguascalientes,DNA,,
,68,Univ of Alberta,DNA,,
,69,Universite de Sherbrooke,DNA,,
,70,Queen's Univ,DNA,,
,75,Florida International Univ,DNA,,
,79,Universidad Panamericana Sede Guadalajar,DNA,,
,84,Univ of Arizona,DNA,,
,90,Sacramento State Univ,DNA,,
,93,Wichita State Univ,DNA,,
,98,Univ of Nebraska - Lincoln,DNA,,
,100,Alabama A & M Univ,DNA,,
,104,Polytechnic Univ of Puerto Rico,DNA,,
,105,Rose Hulman Inst of Tech,DNA,,
,109,Univ of Minnesota - Duluth,DNA,,
,116,Washington State Univ,DNA,,
,118,Univ of Georgia,DNA,,
,120,Univ of Toledo,DNA,,
,123,West Virginia Univ,DNA,,
,126,Univ of Puerto Rico-Mayaquez,DNA,,
,128,Universidad Autonoma Estado Mexico,DNA,,
,129,Instituto Tecnologico de Chihuahua,DNA,,
,132,Univ of Massachusetts - Lowell,DNA,,
